,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
10,35000000,https://www.netflix.com/title/80218455,555604,tt1488589,0,117,en,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",1867.515,Guillermo del Toro's Pinocchio,8.5,1171,2022,Animation,Drama,Fantasy,,,,,
11,40000000,https://glassonionmovie.com,661374,tt11564570,13280000,140,en,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,1770.546,Glass Onion: A Knives Out Mystery,7.0,1368,2022,Comedy,Mystery,Thriller,,,,,
12,180000000,https://movies.disney.com/strange-world,877269,tt10298840,60624918,102,en,"A journey deep into an uncharted and treacherous land, where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial, mission.",1756.717,Strange World,6.5,276,2022,Adventure,Animation,Family,ScienceFiction,,,,
13,0,https://www.netflix.com/title/81458368,873126,tt15229674,0,90,it,"After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.",1602.532,My Name Is Vendetta,6.7,246,2022,Action,Crime,Thriller,,,,,
14,0,,573171,tt8101238,0,91,es,The rooster Toto has a new enemy: a pirate who plans to turn him into a cryogenically frozen rooster.,1602.028,A Frozen Rooster,8.4,121,2022,Adventure,Animation,Comedy,,,,,
15,250000000,https://wakandaforevertickets.com,505642,tt9114286,801755401,162,en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",1438.632,Black Panther: Wakanda Forever,7.5,1496,2022,Action,Adventure,ScienceFiction,,,,,
16,0,https://www.lionsgate.com/movies/detective-knight-rogue,1024546,tt21435436,0,105,en,"As Los Angeles prepares for Halloween, mask-wearing armed robbers critically wound detective James Knight’s partner in a shootout following a heist. With Knight in hot pursuit, the bandits flee L.A. for New York, where the detective’s dark past collides with his present case and threatens to tear his world apart…unless redemption can claim Knight first.",1396.52,Detective Knight: Rogue,6.3,28,2022,Action,Crime,,,,,,
17,0,,1049233,tt23343786,0,101,pl,"After a teacher dies, his best friend — a former cop — takes a job at the school where he worked to confront the gang he thinks was responsible.",1392.965,Lesson Plan,6.3,77,2022,Crime,Thriller,,,,,,
18,0,,878183,tt3416670,0,108,en,"It's the final weeks of the most consequential presidential election in history. America is poised to elect either its first female president or its first viable independent candidate. Reporting history as it's made, an idealistic young journalist teams up with her idol, legendary journalist Nick Booker, to uncover a conspiracy that places the fate of the election, and the country, in their hands.",1381.326,The Independent,7.2,42,2022,Thriller,,,,,,,
19,130,,1013860,tt21094994,78324220,102,en,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",1316.857,R.I.P.D. 2: Rise of the Damned,6.7,288,2022,Action,Comedy,Crime,Fantasy,,,,
20,90000000,https://www.pussinbootsmovie.ca,315162,tt3915174,75000000,102,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",1178.778,Puss in Boots: The Last Wish,8.0,125,2022,Adventure,Animation,Comedy,Family,Fantasy,,,
21,0,https://www.netflix.com/title/81500345,1045944,tt23546646,0,47,en,Christmas Eve takes a twisty turn when the Boss Baby accidentally swaps places with one of Santa's elves and gets stranded at the North Pole.,1175.767,The Boss Baby: Christmas Bonus,6.7,135,2022,Adventure,Animation,Family,,,,,
22,0,,811656,tt4624366,138450,89,en,"Laura, traumatized by an abusive relationship, runs away from her former husband with her seven-year-old son Cody. But in their new, idyllic and remote sanctuary, they find they have another, bigger and more terrifying monster to deal with…",1136.485,Monstrous,6.3,141,2022,Horror,Mystery,Thriller,,,,,
23,23000000,https://theavenue.film/movies/medieval,551271,tt8883486,4311284,126,en,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,1031.954,Medieval,7.2,256,2022,Action,Drama,History,,,,,
24,0,,989937,tt17677744,0,52,ja,"Tristan, the son of Meliodas and Elizabeth, inherits the power of the Goddess Clan and can heal people’s wounds and injuries, but he often ends up hurting others due to his inability to control his Demon Clan power. To protect his family, Tristan heads to Edinburgh Castle and meets a host of new friends along the way.",1028.878,The Seven Deadly Sins: Grudge of Edinburgh Part 1,8.1,96,2022,Action,Adventure,Animation,Fantasy,,,,
25,0,,111332,tt1599280,0,23,en,The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.,982.553,Avatar: Creating the World of Pandora,7.3,35,2010,Documentary,,,,,,,
26,0,https://www.disneyplus.com/movies/disenchanted/5rnVhiRFkaqL,338958,tt1596342,0,120,en,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",948.283,Disenchanted,7.1,597,2022,Comedy,Family,Fantasy,,,,,
27,0,,988233,tt6969338,0,88,en,"Following a mysterious disappearance on a jump, a group of skydivers experiences paranormal occurrences that leave them fighting for their lives.",945.858,Hex,5.8,20,2022,Action,Horror,Thriller,,,,,
28,0,,972313,tt1551614,0,93,en,"When a master thief is sabotaged during a bank heist and left for dead, he seeks revenge on his former crew one target at a time. Now, with the cops and the mob closing in, he's in the race of his life to reclaim an untold fortune in cryptocurrency from those who double-crossed him.",939.784,Blowback,6.2,33,2022,Action,Crime,Thriller,,,,,
29,0,,751741,tt13623880,0,77,en,"Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.",938.632,Night at the Museum: Kahmunrah Rises Again,7.0,112,2022,Animation,Comedy,Family,Fantasy,,,,
30,0,https://pegasus.is/portfolio-posts/cop-secret,792775,tt13882736,0,100,is,"When Bússi, Iceland's toughest cop, is forced to work with a new partner to solve a series of bank robberies, the pressure to close the case as soon as possible proves too much for him.",887.135,Cop Secret,6.1,48,2022,Action,Comedy,Thriller,,,,,
31,0,http://www.23ten.com/one-way,747803,tt13075730,0,96,en,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into the unrelenting California desert. With his life slipping through his fingers, Freddy is left with very few choices to survive.",847.701,One Way,6.8,55,2022,Action,Crime,Thriller,,,,,
32,0,,934641,tt11833408,0,90,en,"A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town’s mystery and winds up getting more than he bargained for.",839.767,The Minute You Wake Up Dead,5.7,31,2022,Crime,Thriller,,,,,,
33,0,https://abc.com/movies-and-specials/avatar-the-deep-dive-a-special-edition-of-2020,1059673,,0,41,en,An inside look at one of the most anticipated movie sequels ever with James Cameron and cast.,836.816,Avatar: The Deep Dive - A Special Edition of 20/20,5.8,4,2022,Documentary,TVMovie,,,,,,
34,3000000,https://www.lionsgate.com/movies/fall,985939,tt15325794,16120263,107,en,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",835.135,Fall,7.3,2056,2022,Thriller,,,,,,,
35,1000000,,966220,tt19465630,0,120,uk,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",831.765,Sniper: The White Raven,7.6,178,2022,Action,Drama,War,,,,,
36,0,,287003,,0,0,en,The deconstruction of the Avatar scenes and sets,830.561,Avatar: Scene Deconstruction,7.8,12,2009,Documentary,,,,,,,
37,0,,880841,tt2980152,0,102,en,"After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own.",813.875,Abandoned,6.6,117,2022,Horror,Mystery,Thriller,,,,,
38,0,,855440,tt15327556,0,76,es,"MG, a policewoman who has been expelled from the Corps due to the problems with alcohol and drugs that she has had since the loss of her son, receives a call from a man asking her to look for Macarena Gómez, a popular TV actress.",784.816,Polar,6.8,17,2022,Action,Adventure,Thriller,,,,,
39,250000,http://www.terrifier2themovie.com/,663712,tt10403420,11500000,138,en,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",773.377,Terrifier 2,7.0,800,2022,Horror,Thriller,,,,,,
40,17000000,https://www.smile.movie/,882598,tt15474916,216000000,115,en,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",753.261,Smile,6.8,1298,2022,Horror,Mystery,Thriller,,,,,
41,0,https://tv.apple.com/movie/umc.cmc.1j6fdxookwtqml3bd8ivvcbbv,715931,tt12530246,0,132,en,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",737.312,Emancipation,8.2,501,2022,Action,Drama,History,Thriller,,,,
42,170000000,https://www.topgunmovie.com,361743,tt1745960,1488000000,131,en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",706.417,Top Gun: Maverick,8.3,5266,2022,Action,Drama,,,,,,
43,0,,1015963,tt15721088,0,84,en,"When the local mafia shows up to burn down her restaurant, Ana, a chef with a meticulous past, defends her turf and proves her knife skills both in and out of the kitchen.",637.594,High Heat,5.6,12,2022,Action,Comedy,Crime,,,,,
44,0,,575322,tt5656994,0,98,en,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",631.928,Project Gemini,5.6,189,2022,ScienceFiction,,,,,,,
45,50000000,https://www.lylelylecrocodile.movie/,830784,tt14668630,79761937,106,en,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",565.746,"Lyle, Lyle, Crocodile",7.8,219,2022,Comedy,Family,Music,,,,,
46,0,https://www.disneyplus.com/movies/pinocchio/5fzcpc295rQn,532639,tt4593060,0,105,en,A wooden puppet embarks on a thrilling adventure to become a real boy.,558.997,Pinocchio,6.6,1198,2022,Adventure,Family,Fantasy,,,,,
47,0,https://www.greenappleent.com/project/alien-sniperess/,941520,tt14668358,0,94,en,A female sniper on military leave promises to fulfill her fiancé’s dying wish until she encounters a hostile alien invasion and is tasked with saving countless lives.,548.948,Alien Sniperess,4.2,12,2022,Action,Fantasy,ScienceFiction,,,,,
48,0,,1053419,tt23808016,0,99,es,"A curse is placed on grinchy Chuy, who wakes up to find he's lived a full year, but is doomed to remember only Christmas Day. Every year. From now on.",548.062,A Not So Merry Christmas,6.8,85,2022,Comedy,,,,,,,
49,0,,772446,tt11309740,0,0,es,"Fausto and Esther childhood was tormented. Fausto, trying to escape from his father. Esther, mistreated by her brother-in-law. They both begin to be involved in a supernatural situation. Over which they have no control.",540.943,No Abras La Puerta,6.7,18,2022,empty,,,,,,,
50,0,https://www.disneyplus.com/movies/the-guardians-of-the-galaxy-holiday-special/5HUc4iuAVplq,774752,tt13623136,0,45,en,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",528.54,The Guardians of the Galaxy Holiday Special,7.4,931,2022,Adventure,Comedy,ScienceFiction,,,,,
51,20000000,https://www.jeeperscreepersreborn.com/,717728,tt14121726,2892594,88,en,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",505.636,Jeepers Creepers: Reborn,5.8,550,2022,Horror,Mystery,Thriller,,,,,
52,200000000,https://www.spidermannowayhome.movie,634649,tt10872600,1916306995,148,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",500.71,Spider-Man: No Way Home,8.0,16209,2021,Action,Adventure,ScienceFiction,,,,,
53,20000000,,829799,tt14656632,0,93,en,Renegade bounty hunter Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,491.341,Paradise City,5.8,49,2022,Action,Crime,Thriller,,,,,
54,0,https://www.netflix.com/title/81260280,49046,tt1016150,0,147,de,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",482.127,All Quiet on the Western Front,7.8,1229,2022,Action,Drama,War,,,,,
55,0,https://www.disneyplus.com/movies/diary-of-a-wimpy-kid-2-rodrick-rules/3AozRqCU7cg4,897192,tt15847828,0,74,en,"A new school year, his brother Rodrick teases him over and over and over and over again. Will Greg manage to get along with him? Or will a secret ruin everything?",480.321,Diary of a Wimpy Kid: Rodrick Rules,6.8,53,2022,Animation,Comedy,Family,,,,,
56,0,https://www.netflix.com/title/81028225,1001865,tt20917338,0,97,en,"On a cold Christmas Eve, selfish miser Ebenezer Scrooge has one night left to face his past — and change the future — before time runs out.",476.087,Scrooge: A Christmas Carol,6.8,199,2022,Animation,Drama,Family,Fantasy,,,,
57,0,,721187,,0,0,ko,"Focusing on the relationship between men and women in a beauty salon, Dae-hye, the director of a korean erotic film beauty salon, becomes more difficult to sell in a depression. The building owner’s rent pressure also comes in, and employee Juhee suggests to Dae-hye to do a bikini service, saying that a bikini beauty salon has hit the jackpot in a foreign country. Surprisingly, bikini service is on the jackpot and guests are increasingly looking for a more powerful service.",468.083,Beauty Salon: Special Services 4,3.8,5,2020,Romance,,,,,,,
58,0,,982620,tt15262370,0,86,en,A group of friends on vacation in a seeming island paradise are stalked by an unrelenting great white after an accident leaves them stranded and left for dead.,461.883,Maneater,4.8,24,2022,Horror,Thriller,,,,,,
59,0,https://www.m3ganmovie.com,536554,tt8760708,0,102,en,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",457.286,M3GAN,6.1,14,2022,Horror,ScienceFiction,Thriller,,,,,
60,165000000,https://www.jurassicworld.com,507086,tt8041270,1001000000,147,en,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",447.625,Jurassic World Dominion,7.0,4078,2022,Action,Adventure,ScienceFiction,,,,,
61,250000000,https://www.marvel.com/movies/thor-love-and-thunder,616037,tt10648342,760928081,119,en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",440.274,Thor: Love and Thunder,6.7,5034,2022,Action,Comedy,Fantasy,,,,,
62,0,,760204,tt13468602,0,93,en,"Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.",428.302,The Lair,6.0,45,2022,Action,Horror,,,,,,
63,0,,732459,tt12610794,0,106,en,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",427.316,Blade of the 47 Ronin,6.8,97,2022,Action,Fantasy,,,,,,
64,0,https://www.netflix.com/title/81509213,948276,tt14465706,0,98,fr,"Having cleared his name, genius mechanic Lino has only one goal in mind: getting revenge on the corrupt cops who killed his brother and his mentor.",425.797,Lost Bullet 2,6.6,187,2022,Action,Drama,Thriller,,,,,
65,0,http://www.infromthesidemovie.com,622082,tt7947604,0,134,en,Two men in a gay men's rugby club must conceal an adulterous affair they unwittingly fall into before it leads to the collapse of the delicate social and political fabric of the club.,419.642,In from the Side,6.5,11,2022,Drama,Romance,,,,,,
66,65000000,https://www.20thcenturystudios.com/movies/prey,766507,tt11866324,0,100,en,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",418.752,Prey,7.8,4851,2022,Action,ScienceFiction,Thriller,,,,,
67,0,,610150,tt14614892,86562140,99,ja,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",414.067,Dragon Ball Super: Super Hero,8.0,2112,2022,Action,Animation,ScienceFiction,,,,,
68,0,https://www.emilythecriminal.com/,862965,tt15255876,0,97,en,"Emily, who is saddled with student debt and locked out of the job market due to a minor criminal record, gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",403.672,Emily the Criminal,6.9,306,2022,Crime,Drama,Thriller,,,,,
69,14000000,https://www.hulu.com/movie/hellraiser-eb138082-5c40-4a8f-aa30-3fc66ef615fd,338947,tt0887261,0,121,en,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",395.709,Hellraiser,6.5,384,2022,Horror,Mystery,,,,,,
70,90000000,https://www.bullettrainmovie.com,718930,tt12593682,239260044,127,en,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",391.805,Bullet Train,7.5,2864,2022,Action,Comedy,Thriller,,,,,
71,0,,872177,tt15391770,0,106,en,"Set in San Tiburon, the world's most dangerous maximum-security penitentiary and home to the world's most treacherous superpowered criminals, where tensions among the inmates and staff heighten, leading to anarchy that engulfs the prison and order is turned upside down.",388.068,Corrective Measures,5.1,41,2022,Action,ScienceFiction,,,,,,
72,0,,1023803,tt22028912,0,44,en,Features Rev Run as he brings audiences on a hip-hop reimagining of The Nutcracker ballet set in NYC.,386.139,The Hip Hop Nutcracker,5.8,11,2022,Music,,,,,,,
73,0,https://www.beastmovie.com,760741,tt13223398,56000000,93,en,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",385.236,Beast,7.0,902,2022,Adventure,Horror,Thriller,,,,,
74,35000000,https://www.netflix.com/title/81220825,668461,tt13320662,0,117,en,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",381.303,Slumberland,7.7,464,2022,Adventure,Drama,Family,Fantasy,,,,
75,0,,979924,tt14824590,0,104,en,A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.,370.201,On the Line,6.3,194,2022,Thriller,,,,,,,
76,110000000,https://www.sonicthehedgehogmovie.com,675353,tt12412888,401800000,122,en,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",367.24,Sonic the Hedgehog 2,7.6,3513,2022,Action,Adventure,Comedy,Family,,,,
77,130000000,https://www.dreamworks.com/movies/puss-in-boots,417859,tt0448694,554987477,90,en,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",362.914,Puss in Boots,6.4,2826,2011,Action,Adventure,Animation,Comedy,Family,,,
78,0,,676701,tt14941698,0,89,es,"Tad accidentally unleashes an ancient spell, endangering the lives of his friends Mummy, Jeff, and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure to end the Curse of the Mummy.",358.765,"Tad, the Lost Explorer and the Emerald Tablet",7.8,168,2022,Adventure,Animation,Comedy,Family,Fantasy,,,
79,0,,939210,tt15038118,0,74,en,"When Josh gets the opportunity of a lifetime to audition for Rainbow Puppy’s Broadway musical, Josh and Blue skidoo to NYC for the very first time where they meet new friends and discover the magic of music, dance, and following one’s dreams.",357.647,Blue's Big City Adventure,7.6,67,2022,Adventure,Animation,Family,Music,,,,
80,0,https://www.netflix.com/title/80228012,1037858,tt22774688,0,74,en,"When mysterious green slime monsters start popping out of soccer balls, all-star athletes Zlatan Ibrahimović and Megan Rapinoe must team up with their four biggest fans to stop evil scientist ""Weird Al"" Yankovic from stealing their talent.",356.293,The Soccer Football Movie,6.5,66,2022,Animation,Comedy,Family,,,,,
81,0,https://www.warnerbros.com/movies/tom-and-jerry-snowmans-land,1018403,tt21958986,0,76,en,"It’s time to chase that holiday spirit with Tom and Jerry! With magic in the air, Jerry and his nephew, Tuffy, make a snow mouse that miraculously comes to life! To keep their new friend, Larry the snow mouse from melting, Tuffy and Jerry must race him to the fabled Snowman’s Village. In hot pursuit, Tom and devious Dr. Doublevay have their own plans for Larry’s magic.",355.42,Tom and Jerry Snowman's Land,7.4,22,2022,Adventure,Animation,Comedy,Family,,,,
82,0,,675054,tt10171796,0,93,es,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",350.872,MexZombies,7.2,108,2022,Action,Comedy,Horror,,,,,
83,0,https://www.netflix.com/title/81406219,829280,tt14641788,0,129,en,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",347.387,Enola Holmes 2,7.6,417,2022,Adventure,Comedy,Crime,Mystery,,,,
84,15800000,https://demonslayer-anime.com,635302,tt11032374,503063688,117,ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",334.739,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.3,2854,2020,Action,Adventure,Animation,Fantasy,,,,
85,123000000,,8871,tt0170016,345823040,104,en,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,330.708,How the Grinch Stole Christmas,6.7,6338,2000,Comedy,Family,Fantasy,,,,,
